Power of Two	Thread Size	Time(msec)
7		8		0.010560
8		8		0.010885
9		8		0.010617
10		8		0.011161
11		8		0.010718
12		8		0.010513
13		8		0.010891
14		8		0.010614
15		8		0.010425
16		8		0.008627
17		8		0.008409
18		8		0.006849
19		8		0.004970
20		8		0.004228
Power of Two	Thread Size	Time(msec)
1		9		0.089779
2		9		0.045633
3		9		0.023193
4		9		0.016078
5		9		0.013725
6		9		0.012395
7		9		0.011632
8		9		0.011422
9		9		0.011138
10		9		0.011079
11		9		0.011614
12		9		0.010981
13		9		0.010400
14		9		0.010602
15		9		0.010584
16		9		0.010591
17		9		0.009465
18		9		0.007019
19		9		0.004348
20		9		0.004148
Power of Two	Thread Size	Time(msec)
1		10		0.092329
2		10		0.047996
3		10		0.026389
4		10		0.017199
5		10		0.014439
6		10		0.013005
7		10		0.012297
8		10		0.012378
9		10		0.012603
10		10		0.012312
11		10		0.012262
12		10		0.012322
13		10		0.011878
14		10		0.011210
15		10		0.011444
16		10		0.010943
17		10		0.010959
18		10		0.006700
19		10		0.004348
20		10		0.004177
Power of Two	Thread Size	Time(msec)
1		11		0.097155
2		11		0.048507
3		11		0.027031
4		11		0.016983
5		11		0.014437
6		11		0.013098
7		11		0.012849
8		11		0.012531
9		11		0.011913
10		11		0.011725
11		11		0.012615
12		11		0.012358
13		11		0.011771
14		11		0.011589
15		11		0.011156
16		11		0.011273
17		11		0.010943
18		11		0.006492
19		11		0.004385
20		11		0.004222
Power of Two	Thread Size	Time(msec)
1		12		0.097016
2		12		0.048121
3		12		0.026366
4		12		0.016856
5		12		0.014669
6		12		0.013019
7		12		0.012886
8		12		0.012782
9		12		0.012754
10		12		0.012390
11		12		0.012332
12		12		0.012327
13		12		0.011817
14		12		0.011212
15		12		0.011743
16		12		0.011722
17		12		0.010221
18		12		0.006969
19		12		0.004596
20		12		0.004335
Power of Two	Thread Size	Time(msec)
1		13		0.095097
2		13		0.046881
3		13		0.025624
4		13		0.016776
5		13		0.014556
6		13		0.012811
7		13		0.012555
8		13		0.011502
9		13		0.012497
10		13		0.012637
11		13		0.012310
12		13		0.011356
13		13		0.011986
14		13		0.011727
15		13		0.012098
16		13		0.012124
17		13		0.012390
18		13		0.006959
19		13		0.004516
20		13		0.004407
Power of Two	Thread Size	Time(msec)
1		14		0.095234
2		14		0.049510
3		14		0.027135
4		14		0.017073
5		14		0.014861
6		14		0.012882
7		14		0.012019
8		14		0.012495
9		14		0.012640
10		14		0.012201
11		14		0.012989
12		14		0.012719
13		14		0.012119
14		14		0.012147
15		14		0.012073
16		14		0.012358
17		14		0.012283
18		14		0.006867
19		14		0.004525
20		14		0.004433
Power of Two	Thread Size	Time(msec)
1		15		0.098545
2		15		0.047904
3		15		0.026378
4		15		0.017787
5		15		0.014772
6		15		0.013298
7		15		0.012806
8		15		0.012284
9		15		0.012534
10		15		0.012911
11		15		0.013054
12		15		0.012853
13		15		0.012605
14		15		0.012066
15		15		0.012444
16		15		0.012461
17		15		0.012175
18		15		0.006886
19		15		0.004537
20		15		0.004401
Power of Two	Thread Size	Time(msec)
1		16		0.096332
2		16		0.047998
3		16		0.026505
4		16		0.017971
5		16		0.014108
6		16		0.012859
7		16		0.012412
8		16		0.012752
9		16		0.012674
10		16		0.012264
11		16		0.012778
12		16		0.012150
13		16		0.012920
14		16		0.012718
15		16		0.012315
16		16		0.011925
17		16		0.012546
18		16		0.006949
19		16		0.004590
20		16		0.004488
Power of Two	Thread Size	Time(msec)
1		17		0.098517
2		17		0.047537
3		17		0.027257
