Threshold,Thread Size,Time(msec)
3,2,0.083200
4,2,0.083300
5,2,0.083300
6,2,0.083400
7,2,0.083300
8,2,0.083400
9,2,0.084100
10,2,0.084800
11,2,0.083400
12,2,0.084200
13,2,0.084200
14,2,0.084200
15,2,0.084300
16,2,0.084300
17,2,0.084300
18,2,0.084300
19,2,0.084300
20,2,0.084300
