Threshold,Thread Size,Time(msec)
3,3,0.086000
4,3,0.085900
5,3,0.085900
6,3,0.086000
7,3,0.086000
8,3,0.086100
9,3,0.086200
10,3,0.086000
11,3,0.086000
12,3,0.085800
13,3,0.086500
14,3,0.085400
15,3,0.085500
16,3,0.085400
17,3,0.085400
18,3,0.085500
19,3,0.085400
20,3,0.085500
