Threshold,Thread Size,Time(msec)
3,4,0.122000
4,4,0.122800
5,4,0.124900
6,4,0.120700
7,4,0.113900
8,4,0.125200
9,4,0.113500
10,4,0.114200
11,4,0.111800
12,4,0.123300
13,4,0.124800
14,4,0.124900
15,4,0.124900
16,4,0.124900
17,4,0.124900
18,4,0.119200
19,4,0.122500
20,4,0.124900
